STATUS - Requerimento,ANO  SOLICITAÇÃO,PAÍS DE ORIGEM,GÊNERO,ANO DE NASCIMENTO,CIDADE SOLICITAÇÃO,DATA DA  DECISÃO
DEFERIDO,2018,VENEZUELA,F,1998,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,F,1998,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,F,1998,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,F,1998,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
DEFERIDO,2018,VENEZUELA,M,1988,BOA VISTA,2020-01-31
